delivery_date,sku_id,total_qty,Date,Open,High,Low,Close
16/11/2021,BK-1216,78,16/11/2021,3232.050049,3246.25,3230.959961,3238.800049
17/11/2021,BK-1216,84,17/11/2021,3236.439941,3237.620117,3226.290039,3232.679932
18/11/2021,BK-1216,84,18/11/2021,3226.949951,3239.429932,3219.899902,3237.02002
19/11/2021,BK-1216,102,19/11/2021,3233.629883,3238.969971,3227.060059,3232.340088
20/11/2021,BK-1216,176,0,0,0,0,0
21/11/2021,BK-1216,2,0,0,0,0,0
22/11/2021,BK-1216,131,22/11/2021,3234.110107,3244.72998,3231.100098,3237.080078
23/11/2021,BK-1216,89,23/11/2021,3236.320068,3237.320068,3226.76001,3227.530029
24/11/2021,BK-1216,119,24/11/2021,3237.040039,3227.149902,3227.149902,3227.149902
25/11/2021,BK-1216,104,25/11/2021,3224.330078,3237.52002,3217.310059,3221.52002
26/11/2021,BK-1216,110,26/11/2021,3204.570068,3208.129883,3153.709961,3166.27002
27/11/2021,BK-1216,203,0,0,0,0,0
28/11/2021,BK-1216,2,0,0,0,0,0
29/11/2021,BK-1216,112,29/11/2021,3144.169922,3147.169922,3115.969971,3120.580078
30/11/2021,BK-1216,86,30/11/2021,3122.73999,3129.540039,3041.290039,3041.290039
1/12/2021,BK-1216,126,1/12/2021,3052.399902,3101.52002,3045.129883,3098.25
2/12/2021,BK-1216,103,2/12/2021,3068.149902,3100.550049,3065.909912,3092.110107
3/12/2021,BK-1216,104,3/12/2021,3083.26001,3109.639893,3080.290039,3101.929932
4/12/2021,BK-1216,220,0,0,0,0,0
5/12/2021,BK-1216,2,0,0,0,0,0
6/12/2021,BK-1216,127,6/12/2021,3103.959961,3135.649902,3103.959961,3116.320068
7/12/2021,BK-1216,76,7/12/2021,3123.26001,3138.409912,3120.439941,3134.659912
8/12/2021,BK-1216,112,8/12/2021,3138.199951,3140.75,3124.310059,3129.77002
9/12/2021,BK-1216,103,9/12/2021,3136.860107,3152.340088,3134.399902,3142.449951
10/12/2021,BK-1216,102,10/12/2021,3133.889893,3141.850098,3129.25,3135.610107
11/12/2021,BK-1216,213,0,0,0,0,0
12/12/2021,BK-1216,3,0,0,0,0,0
13/12/2021,BK-1216,124,13/12/2021,3156.600098,3161.949951,3119.949951,3119.949951
14/12/2021,BK-1216,83,14/12/2021,3117.120117,3128.800049,3114.429932,3121.090088
15/12/2021,BK-1216,111,15/12/2021,3116.850098,3120.550049,3106.629883,3114.879883
16/12/2021,BK-1216,97,16/12/2021,3114.189941,3137.310059,3113.050049,3128.800049
17/12/2021,BK-1216,123,17/12/2021,3122.919922,3134.98999,3111.629883,3111.629883
18/12/2021,BK-1216,218,0,0,0,0,0
19/12/2021,BK-1216,0,0,0,0,0,0
20/12/2021,BK-1216,133,20/12/2021,3093.22998,3098.48999,3068.209961,3072.969971
21/12/2021,BK-1216,77,21/12/2021,3083.73999,3101.75,3079.340088,3085.080078
22/12/2021,BK-1216,129,22/12/2021,3093.300049,3098.27002,3078.709961,3087.51001
23/12/2021,BK-1216,116,23/12/2021,3098.040039,3104.179932,3090.25,3096.810059
24/12/2021,BK-1216,151,24/12/2021,3101.669922,3110.76001,3098.98999,3108.280029
25/12/2021,BK-1216,252,0,0,0,0,0
26/12/2021,BK-1216,6,0,0,0,0,0
27/12/2021,BK-1216,153,27/12/2021,3107.629883,3113.550049,3104.23999,3104.23999
28/12/2021,BK-1216,55,28/12/2021,3110.820068,3128.919922,3108.929932,3128.409912
29/12/2021,BK-1216,84,29/12/2021,3135.389893,3140.52002,3132.870117,3138.02002
30/12/2021,BK-1216,104,30/12/2021,3132.360107,3137.860107,3126.550049,3126.639893
31/12/2021,BK-1216,97,31/12/2021,3127.110107,3139.73999,3123.679932,3123.679932
1/1/2022,BK-1216,256,0,0,0,0,0
2/1/2022,BK-1216,2,0,0,0,0,0
3/1/2022,BK-1216,140,3/1/2022,3130.47998,3138.27002,3127.600098,3134.25
4/1/2022,BK-1216,73,4/1/2022,3155.679932,3182.530029,3151.800049,3181.129883
5/1/2022,BK-1216,105,5/1/2022,3187.570068,3196.600098,3154.959961,3163.439941
6/1/2022,BK-1216,75,6/1/2022,3152.75,3186.330078,3144.810059,3184.300049
7/1/2022,BK-1216,104,7/1/2022,3199.669922,3209.399902,3190.610107,3205.26001
8/1/2022,BK-1216,200,0,0,0,0,0
9/1/2022,BK-1216,2,0,0,0,0,0
10/1/2022,BK-1216,121,10/1/2022,3211.26001,3241.409912,3209.300049,3227.050049
11/1/2022,BK-1216,90,11/1/2022,3231.340088,3249.070068,3222.560059,3246.370117
12/1/2022,BK-1216,93,12/1/2022,3261.26001,3263.649902,3242.590088,3254.97998
13/1/2022,BK-1216,80,13/1/2022,3262.26001,3262.370117,3247.389893,3257.300049
14/1/2022,BK-1216,100,14/1/2022,3264.73999,3282.409912,3262.360107,3281.969971
15/1/2022,BK-1216,182,0,0,0,0,0
16/1/2022,BK-1216,2,0,0,0,0,0
17/1/2022,BK-1216,108,17/1/2022,3284.48999,3297.790039,3279.330078,3287.949951
18/1/2022,BK-1216,95,18/1/2022,3295.080078,3299.639893,3273.459961,3280.040039
19/1/2022,BK-1216,97,19/1/2022,3281.840088,3297.870117,3273.959961,3283.939941
20/1/2022,BK-1216,86,20/1/2022,3282.909912,3298.090088,3269.449951,3294.820068
21/1/2022,BK-1216,86,21/1/2022,3291.280029,3298.939941,3281.580078,3294.860107
22/1/2022,BK-1216,192,0,0,0,0,0
23/1/2022,BK-1216,2,0,0,0,0,0
24/1/2022,BK-1216,111,24/1/2022,3268.189941,3294.219971,3266.149902,3283.350098
25/1/2022,BK-1216,94,25/1/2022,3264.110107,3267.550049,3235.169922,3247.76001
26/1/2022,BK-1216,110,26/1/2022,3253.810059,3280.47998,3250.209961,3271.570068
27/1/2022,BK-1216,104,27/1/2022,3257.219971,3262.570068,3240.560059,3260.030029
28/1/2022,BK-1216,117,28/1/2022,3261.050049,3272.590088,3245.149902,3246.330078
29/1/2022,BK-1216,237,0,0,0,0,0
30/1/2022,BK-1216,9,0,0,0,0,0
31/1/2022,BK-1216,217,31/1/2022,3250.550049,3276.310059,3245.669922,3249.590088
1/2/2022,BK-1216,132,0,0,0,0,0
2/2/2022,BK-1216,142,0,0,0,0,0
3/2/2022,BK-1216,117,3/2/2022,3302.22998,3327.110107,3290.290039,3315.98999
4/2/2022,BK-1216,95,4/2/2022,3315.370117,3332.919922,3309.52002,3331.409912
5/2/2022,BK-1216,187,0,0,0,0,0
6/2/2022,BK-1216,0,0,0,0,0,0
7/2/2022,BK-1216,121,7/2/2022,3328.639893,3366.47998,3327.629883,3366.47998
8/2/2022,BK-1216,58,8/2/2022,3380.02002,3411.51001,3373.040039,3401.73999
9/2/2022,BK-1216,93,9/2/2022,3397.050049,3420.040039,3394.030029,3420.040039
10/2/2022,BK-1216,74,10/2/2022,3420.629883,3435.679932,3403.949951,3428
11/2/2022,BK-1216,79,11/2/2022,3414.449951,3438.070068,3411.870117,3428.949951
12/2/2022,BK-1216,156,0,0,0,0,0
13/2/2022,BK-1216,0,0,0,0,0,0
14/2/2022,BK-1216,107,14/2/2022,3419.52002,3434.51001,3403.409912,3421.199951
15/2/2022,BK-1216,73,15/2/2022,3418.22998,3425.620117,3407.370117,3421.379883
16/2/2022,BK-1216,80,16/2/2022,3418.439941,3442.610107,3407.439941,3439.300049
17/2/2022,BK-1216,89,17/2/2022,3451.419922,3466.22998,3441.570068,3441.570068
18/2/2022,BK-1216,89,18/2/2022,3432.860107,3447.389893,3427.659912,3428.899902
19/2/2022,BK-1216,177,0,0,0,0,0
20/2/2022,BK-1216,0,0,0,0,0,0
21/2/2022,BK-1216,11,21/2/2022,3421.949951,3438.530029,3417.889893,3436.360107
22/2/2022,BK-1216,0,22/2/2022,3416.899902,3421.399902,3394.790039,3400.580078
23/2/2022,BK-1216,180,23/2/2022,3395.25,3401.120117,3391.179932,3393
24/2/2022,BK-1216,114,24/2/2022,3351.23999,3363.169922,3248.929932,3276.060059
25/2/2022,BK-1216,110,25/2/2022,3286.719971,3332.659912,3286.719971,3294.469971
26/2/2022,BK-1216,201,0,0,0,0,0
27/2/2022,BK-1216,3,0,0,0,0,0
28/2/2022,BK-1216,102,28/2/2022,3298.52002,3301.080078,3214.929932,3242.23999
1/3/2022,BK-1216,79,1/3/2022,3262.48999,3288.379883,3260.959961,3278.629883
2/3/2022,BK-1216,104,2/3/2022,3262.050049,3279.969971,3243.939941,3244.399902
3/3/2022,BK-1216,84,3/3/2022,3264.959961,3273.98999,3253.649902,3253.649902
4/3/2022,BK-1216,94,4/3/2022,3235.290039,3253.139893,3207.830078,3226.780029
5/3/2022,BK-1216,183,0,0,0,0,0
6/3/2022,BK-1216,0,0,0,0,0,0
7/3/2022,BK-1216,122,7/3/2022,3205.300049,3222.610107,3186.01001,3187.820068
8/3/2022,BK-1216,82,8/3/2022,3175.290039,3182.350098,3128.060059,3148.860107
9/3/2022,BK-1216,118,9/3/2022,3136.800049,3203.379883,3136.48999,3195.379883
10/3/2022,BK-1216,100,10/3/2022,3231.889893,3258.939941,3227.610107,3240.72998
11/3/2022,BK-1216,97,11/3/2022,3230.280029,3251.340088,3217.560059,3249.659912
12/3/2022,BK-1216,210,0,0,0,0,0
13/3/2022,BK-1216,2,0,0,0,0,0
14/3/2022,BK-1216,119,14/3/2022,3242.73999,3250.820068,3222,3232.030029
15/3/2022,BK-1216,88,15/3/2022,3236.469971,3265.899902,3227.879883,3236.040039
16/3/2022,BK-1216,127,16/3/2022,3276.469971,3298.139893,3262.149902,3290.899902
17/3/2022,BK-1216,106,17/3/2022,3341.030029,3345.919922,3294.780029,3322.709961
18/3/2022,BK-1216,115,18/3/2022,3333.22998,3346.370117,3313.870117,3330.629883
19/3/2022,BK-1216,212,0,0,0,0,0
20/3/2022,BK-1216,2,0,0,0,0,0
21/3/2022,BK-1216,121,21/3/2022,3345.860107,3355.51001,3355.51001,3355.51001
22/3/2022,BK-1216,87,22/3/2022,3349.540039,3365.600098,3343.419922,3350.169922
23/3/2022,BK-1216,112,23/3/2022,3359.919922,3370.800049,3357.47998,3364.26001
24/3/2022,BK-1216,96,24/3/2022,3353.219971,3402.139893,3351.52002,3399.699951
25/3/2022,BK-1216,78,25/3/2022,3397.360107,3421.969971,3396.77002,3413.689941
26/3/2022,BK-1216,208,0,0,0,0,0
27/3/2022,BK-1216,0,0,0,0,0,0
28/3/2022,BK-1216,120,28/3/2022,3412.550049,3433.570068,3408.340088,3431.98999
29/3/2022,BK-1216,100,29/3/2022,3442.199951,3456.090088,3413.350098,3433.899902
30/3/2022,BK-1216,119,30/3/2022,3448.72998,3448.810059,3431.870117,3442.610107
31/3/2022,BK-1216,80,31/3/2022,3443.169922,3449.530029,3408.52002,3408.52002
1/4/2022,BK-1216,121,1/4/2022,3403.929932,3425.370117,3399.47998,3419.110107
2/4/2022,BK-1216,188,0,0,0,0,0
3/4/2022,BK-1216,0,0,0,0,0,0
4/4/2022,BK-1216,131,4/4/2022,3418.719971,3424.790039,3414.820068,3416.969971
5/4/2022,BK-1216,74,5/4/2022,3426.090088,3445.01001,3425.929932,3445.01001
6/4/2022,BK-1216,67,6/4/2022,3432.669922,3445.899902,3419.560059,3422.949951
7/4/2022,BK-1216,50,7/4/2022,3402.780029,3415.340088,3395.560059,3404.22998
8/4/2022,BK-1216,75,8/4/2022,3400.52002,3402.629883,3374.340088,3383.280029
9/4/2022,BK-1216,155,0,0,0,0,0
10/4/2022,BK-1216,1,0,0,0,0,0
11/4/2022,BK-1216,108,11/4/2022,3368.179932,3374.850098,3349.25,3363.560059
12/4/2022,BK-1216,60,12/4/2022,3347.100098,3357.459961,3330.25,3330.25
13/4/2022,BK-1216,74,13/4/2022,3342.889893,3356.659912,3340.209961,3342.219971
14/4/2022,BK-1216,79,14/4/2022,3342.679932,3359.540039,3334.070068,3335.850098
15/4/2022,BK-1216,117,0,0,0,0,0
16/4/2022,BK-1216,179,0,0,0,0,0
17/4/2022,BK-1216,0,0,0,0,0,0
18/4/2022,BK-1216,112,18/4/2022,3327.159912,3330.300049,3303.070068,3303.070068
19/4/2022,BK-1216,68,19/4/2022,3320.530029,3344.659912,3307.129883,3307.129883
