delivery_date,sku_id,total_qty
2021/1/12,BK-1334,9
2021/1/12,BK-1341,20
2021/1/12,BK-1345,27
2021/1/12,BK-1346,0
2021/1/12,BK-1349,0
2021/1/12,BK-1350,0
2021/1/12,BK-1351,0
2021/1/12,BK-1411,43
2021/1/12,BK-1412,0
2021/1/12,BK-1414,0
2021/1/12,BK-1617,19
2021/1/12,BK-1619,13
2021/1/12,BK-1704,12
2021/1/12,BK-1810,1
2021/1/12,BK-1854,8
2021/1/12,BK-1860,13
2021/1/12,BK-1862,0
2021/1/12,BK-1863,11
2021/1/12,BK-1867,0
2021/1/12,BK-1871,0
2021/1/12,BK-1872,0
2021/1/12,BK-1876,0
2021/1/12,BK-1879,0
2021/1/12,BK-1880,0
2021/1/12,BK-1881,0
2021/1/12,BK-2215,0
2021/1/12,BK-2416,2
2021/1/12,BK-2723,5
2021/1/12,BK-2725,0
2021/1/12,BK-2742,0
2021/1/12,BK-3106,0
2021/1/12,BK-3147,0
2021/1/12,BK-3157,0
2021/1/12,BK-3165,0
2021/1/12,BK-3167,0
2021/1/12,BK-3169,0
2021/1/12,BK-3170,0
2021/1/12,BK-3242,33
2021/1/12,BK-3243,5
2021/1/12,BK-3263,0
2021/1/12,BK-3270,0
2021/1/12,BK-3271,0
2021/1/12,BK-3272,0
2021/1/12,BK-3273,0
2021/1/12,BK-3275,0
2021/1/12,BK-4123,0
2021/1/12,BK-4124,0
2021/1/12,BK-4204,0
2021/1/12,BK-4205,3
2021/1/12,BK-4207,2
2021/1/12,BK-4211,1
2021/1/12,BK-4214,1
2021/1/12,BK-4215,2
2021/1/12,BK-4218,0
2021/1/12,BK-5152,5
2021/1/12,BK-5159,6
2021/1/12,BK-5160,3
2021/1/12,BK-5161,2
2021/1/12,BK-5162,1
2021/1/12,BK-5195,2
2021/1/12,BK-5196,0
2021/1/12,BK-5197,0
2021/1/12,BK-5198,0
2021/1/12,BK-5201,0
2021/1/12,BK-5205,0
2021/1/12,BK-5206,0
2021/1/12,BK-5207,0
2021/1/12,BK-5208,0
2021/1/12,BK-5209,0
2021/1/12,BK-5210,0
2021/1/12,BK-5211,2
2021/1/12,BK-5212,6
2021/1/12,BK-5216,3
2021/1/12,BK-5217,1
2021/1/12,BK-5221,0
2021/1/12,BK-5292,19
2021/1/12,BK-5293,41
2021/1/12,BK-5297,1
2021/1/12,BK-5298,3
2021/1/12,BK-5299,4
2021/1/12,BK-5300,0
2021/1/12,BK-5301,14
2021/1/12,BK-5303,2
2021/1/12,BK-5308,0
2021/1/12,BK-5313,0
2021/1/12,BK-5316,4
2021/1/12,BK-5317,5
2021/1/12,BK-5322,0
2021/1/12,BK-5324,3
2021/1/12,BK-5328,6
2021/1/12,BK-5329,5
2021/1/12,BK-5330,2
2021/1/12,BK-5331,1
2021/1/12,BK-5332,0
2021/1/12,BK-5333,1
2021/1/12,BK-5334,0
2021/1/12,BK-5335,2
2021/1/12,BK-5337,0
2021/1/12,BK-5338,4
2021/1/12,BK-5339,5
2021/1/12,BK-5342,0
2021/1/12,BK-5348,0
2021/1/12,BK-5349,0
